A bird in the hand is worth two in the bush,0
A bunch of fives,0
A chain is only as strong as its weakest link,0
A countenance more in sorrow than in anger,0
A Daniel come to judgement,0
A diamond in the rough,0
A diamond is forever,0
A different kettle of fish,0
A dish fit for the gods,0
A dog is a man's best friend,0
A drop in the bucket,0
A drop in the ocean,0
A fate worse than death,0
A feather in one's cap,0
A fish rots from the head down,0
A fish out of water,0
A fly in the ointment,0
A fool and his money are soon parted,0
A fool's paradise,0
A foot in the door,0
A foregone conclusion,0
A friend in need is a friend indeed,0
A golden key can open any door,0
A good man is hard to find,0
A hard man is good to find,0
A hiding to nothing - On,0
A house divided against itself cannot stand,0
A knight in shining armour,0
À la carte,0
À la mode,0
A legend in one's own lifetime,0
A leopard cannot change its spots,0
A little bird told me,0
A little knowledge is a dangerous thing,0
A little of what you fancy does you good,0
A load of cobblers,0
A load of codswallop,0
A man after my own heart,0
A man who is his own lawyer has a fool for a client,0
A ministering angel shall my sister be,0
A miss is as good as a mile,0
A nation of shopkeepers,0
A nest of vipers,0
A no-brainer,0
A nod is as good as a wink,0
A norange,0
A penny for your thoughts,0
A picture is worth a thousand words,0
A piece of the action,0
A pig in a poke,0
A place for everything and everything in its place,0
A plague on both your houses,0
A priori,0
A red rag to a bull,0
A riddle wrapped up in an enigma,0
A rolling stone gathers no moss,0
A rose by any other name would smell as sweet,0
A rose is a rose is a rose,0
A safe pair of hands,0
A sea change,0
A skeleton in the closet,0
A sledgehammer to crack a nut,0
A shot in the arm,0
A sight for sore eyes,0
A sorry sight,0
A stitch in time saves nine,0
A stone's throw,0
A thing of beauty is a joy forever,0
A tinker's damn,0
A turn up for the books,0
A watched pot never boils,0
A wolf in sheep's clothing,0
A woman needs a man like a fish needs a bicycle,0
A woman's place is in the home,0
A word in edgeways,0
A word in your shell-like,0
A1 at Lloyds,0
Abandon all hope ye who enter here,0
Abide with me,0
About face,0
About turn,0
Above board,0
Abracadabra,0
Absence makes the heart grow fonder,0
Absent without leave,0
Absolute power corrupts absolutely,0
Accidentally on purpose,0
Accidents will happen,0
According to Hoyle,0
Ace in the hole,0
Achilles' heel,0
Acid test,0
Acronyms,0
Across the board,0
Act of God,0
Act the giddy goat,0
Action man,0
Adam's ale,0
Aga saga,0
Against the grain,0
Age before beauty,0
Age cannot wither her nor custom stale her infinite variety,0
Agree to disagree,0
Aid and abet,0
Aide-mémoire,0
Air kiss,0
Air quotes,0
Al fresco,0
Alas poor Yorick! I knew him Horatio,0
Alike as two peas in a pod,0
Alive and kicking,0
All agog,0
All at sea,0
All fingers and thumbs,0
All Greek to me,0
All in all,0
All intents and purposes,0
All of a sudden,0
All present andcorrect,0
All publicity is good publicity,0
All singing all dancing,0
All that glitters is not gold / All that glisters is not gold,0
All the tea in China - Not for,0
All things come to he who waits,0
All things must pass,0
All you can eat,0
Alter ego,0
Amber nectar,0
An albatross around one's neck,0
An apple a day keeps the doctor away,0
An arm and a leg,0
An axe to grind,0
An Englishman's home is his castle,0
An eye for an eye a tooth for a tooth,0
An ill wind,0
An offer he can't refuse,0
An Oxford scholar,0
Anchors aweigh,0
Angry young man,0
Ankle biter,0
Annus horribilis,0
Another think coming,0
Apple of my eye - The,0
Apple pie order,0
April fool,0
Arm candy - see ear candy,0
Arms akimbo,0
Ars longa vita brevis,0
Arty-farty,0
Asap - As soon as possible,0
As X as Y,0
As alike as two peas in a pod,0
As bald as a coot,0
As black as Newgate's knocker,0
As brown as a berry,0
As busy as a bee,0
As cold as any stone,0
As cool as a cucumber,0
As cute as a bug's ear,0
As daft as a brush,0
As dead as a dodo,0
As dead as a doornail,0
As different as chalk and cheese,0
As easy as pie,0
As fast as greased lightning,0
As fine as frog's hair,0
As fit as a butcher's dog,0
As fit as a fiddle,0
As good as gold,0
As good luck would have it,0
As happy as...,0
As happy as a clam,0
As happy as a sandboy,0
As happy as Larry,0
As high as a kite,0
As keen as mustard,0
As mad as a hatter,0
As mad as a March hare,0
As nice as ninepence,0
As old as Methuselah,0
As old as the hills,0
As pleased as Punch,0
As pure as the driven snow,0
As safe as houses,0
As queer as a nine bob note,0
As snug as a bug in a rug,0
As straight as a die,0
As the crow flies,0
As thick as thieves,0
Thick as two short planks,0
As white as snow,0
Ashes to ashes dust to dust,0
Ask a silly question and you'll get a silly answer,0
Ask not for whom the bell tolls,0
Hasta la vista baby,0
At loggerheads,0
At one fell swoop,0
At one's beck and call,0
At sixes and sevens,0
Augur well,0
Auld lang syne,0
Away with the fairies,0
Baby blues,0
Baby boomer,0
Baby father,0
Back of beyond - The,0
Back-seat driver,0
Back the field,0
Back to basics,0
Back to square one,0
Back to the drawing board,0
Backroom boy,0
Bacon - Bring home the,0
Bad books,0
Bad egg,0
Bad hair day,0
Badger to death,0
Bag and baggage,0
Baker's dozen,0
Balance of power - The,0
Balance of trade - The,0
Bald as a coot,0
Bale out/bail out,0
Ball and chain,0
Bandy words,0
Bane of your life,0
Bang on about,0
Baptism of fire,0
Barge-pole - Wouldn't touch with a,0
Barking mad,0
Barking up the wrong tree,0
Barrel of laughs,0
Basket case,0
Bated breath,0
Bats in the belfry,0
Batten down the hatches,0
Battle royal,0
Be afraid be very afraid,0
Be enthralled,0
Be still my beating heart,0
Beam ends - On your,0
Bean counter,0
Beast with two backs,0
Beat a hasty retreat,0
Beat around the bush,0
Beat swords into ploughshares,0
Beat the living daylights out of someone,0
Beauty is in the eye of the beholder,0
Beauty is only skin deep,0
Beck and call,0
Bed of roses,0
Bee in your bonnet,0
Beef and reef,0
Beelzebub has a devil for a sideboard,0
Been there done that,0
Beer and skittles,0
Bee-line - make a bee-line for,0
Bee's knees - The,0
Beetle-browed,0
Before you can say Jack Robinson,0
Beg the question,0
Beggar belief,0
Beggars can't be choosers,0
Behind every great man there's a great woman,0
Behind the eight ball,0
Bell book and candle,0
Bell the cat,0
Belle of the ball,0
Below the belt,0
Below the salt,0
Bells and whistles,0
Belt and braces,0
Belt up,0
Best bib and tucker,0
Best laid schemes of mice and men - The,0
Bet your bottom dollar,0
Better half,0
Better late than never,0
Better to have loved and lost than never to have loved at all,0
Between a rock and a hard place,0
Between the Devil and the deep blue sea,0
Between two stools,0
Between you me and the bed-post,0
Beware of Greeks bearing gifts,0
Beware the Ides of March,0
Beyond belief,0
Beyond our ken,0
Beyond the pale,0
Biblical phrases,0
Big Apple - The,0
Big cheese - The,0
Big Easy - The,0
Big fish in a small pond - A,0
Big wig,0
A bigger bang for your buck,0
Bill Stickers is innocent,0
Billy-o - Like,0
Billy no mates,0
Binge drinking,0
Bird in the hand is worth two in the bush - A,0
Birds and the bees - The,0
Birds of a feather flock together,0
Bite the bullet,0
Bite the dust,0
Bitter end - The,0
Black as Newgate's knocker,0
Black-on-black,0
Black sheep of the family,0
Blast from the past - A,0
Blaze a trail,0
Blind leading the blind - The,0
Blind-man's buff,0
Bling-bling,0
Blonde bombshell,0
Blood and thunder,0
Blood is thicker than water,0
Blood toil tears and sweat,0
Blood sweat and tears,0
Bloody-minded,0
Blot on the landscape,0
Blow a raspberry - see raspberry tart,0
Blow your mind,0
Blow your own trumpet,0
Blown to smithereens,0
Blue blood,0
Blue moon Once in a,0
Blue-plate special,0
Bob's your uncle,0
Bode well,0
Bodice ripper,0
Body - phrases related to the human body,0
Body surfing,0
Bog standard,0
Bolt from the blue,0
Bone dry,0
Bone idle,0
Bone up on,0
Booby prize,0
Booby trap,0
Boogie-woogie,0
To big for your boots,0
Booze cruise,0
Born again,0
Born with a silver spoon in one's mouth,0
Born within the sound of Bow Bells,0
Boss eyed,0
Bottle out,0
Bottom drawer,0
Bottom-up,0
Bought the farm,0
Bowled a maiden over,0
Box and Cox,0
Box-seat - in the,0
Boxing Day,0
Brand spanking new,0
Brass monkey weather,0
Brass tacks - get down to,0
Bread always falls buttered side down,0
Bread of life - The,0
Break a leg,0
Break the ice,0
Bricks and clicks,0
Bring home the bacon,0
Broad in the beam,0
Broke - if it ain't don't fix it,0
Brook no truck with,0
Bronx cheer,0
Brown as a berry,0
Browned off,0
Brownie points,0
Brummagem screwdriver,0
Brush - As daft as a,0
Bubble and squeak,0
Buck stops here - The,0
Bucket list,0
Buckle down,0
Bugger Bognor!,0
Buggins' turn,0
Bullet - Bit the Bite the,0
Bums on seats,0
Bun in the oven,0
Bunch of fives - A,0
Bunny boiler,0
Burn the candle at both ends,0
Burning the midnight oil,0
Bury the hatchet,0
Bury your head in the sand,0
Busy as a bee,0
Butt end of the stick - The,0
Butter no parsnips - Fine words,0
Butter side down,0
Butter wouldn't melt in his mouth,0
Butterfingers,0
By and large,0
By dint of,0
By gum,0
By hook or by crook,0
By the board,0
By the book,0
By the short hairs,0
By the skin of your teeth,0
By your leave,0
Bygones be bygones - Let,0
Caesar Salad,0
Call a spade a spade,0
Call of the wild - The,0
Camera cannot lie - The,0
Can't be overestimated/can't be underestimated,0
Can't hold a candle to,0
Canteen culture,0
Canterbury pace,0
Carbon-copy,0
Carbon footprint,0
Card-sharp,0
Carey Street - On,0
Carpe diem,0
Carry coals to Newcastle,0
Cart before the horse - Put the,0
Carte blanche,0
Cash on the nail,0
Ne'er cast a clout till May be out,0
Cast the first stone,0
Cat got your tongue?,0
Cat may look at a king - A,0
Cat out of the bag - Let the,0
Catbird seat - In the,0
Catch 22,0
Cat's Cradle,0
Caught in a cleft stick,0
Caught by the short hairs,0
Caught red-handed,0
Chain is only as strong as its weakest link - A,0
Chaise lounge,0
Chalk and cheese,0
Champ at the bit,0
Chance would be a fine thing,0
Channel surfing,0
Charity begins at home,0
Charley horse,0
Charm offensive,0
Charmed life,0
Cheap at half the price,0
Cheek by jowl,0
Cherchez la femme,0
Chew the cud,0
Chick flick,0
Chickens come home to roost,0
Children should be seen and not heard,0
Chinese whispers,0
Chinless wonder,0
Chip off the old block,0
Chip on your shoulder,0
Chit-chat,0
Chock-a-block,0
Chop and change,0
Chop-chop,0
Chow down,0
Christmas box - A,0
Christmas card verses,0
Clean breast - make a,0
Clear blue water,0
Cleft stick - In a,0
Cliff-hanger,0
Climb on the bandwagon,0
Cloak and dagger,0
Clod-hopper,0
Clog up,0
Close but no cigar,0
Close quarters,0
Close your eyes and think of England,0
Cloud cuckoo land,0
Cloud nine,0
Clue - don't have a,0
Clutch at straws,0
Coals to Newcastle - Carry,0
Cobblers - A load of,0
Cock-a-hoop,0
Cock-sure,0
Cock a snook,0
Cock and bull story,0
Cock-up,0
Cockney rhyming slang,0
Codswallop - a load of,0
Cogito ergo sum,0
Coin a phrase,0
Cold as any stone,0
Cold comfort,0
Cold enough to freeze the balls off a brass monkey,0
Cold feet,0
Cold shoulder,0
Cold turkey,0
Collywobbles - The,0
Colour up,0
Come a cropper,0
Come clean,0
Come on down,0
Come up trumps,0
Come what come may,0
Comes to the crunch - When it,0
Coming in on a wing and a prayer,0
Common sense,0
Comparisons are odious,0
Compassion fatigue,0
Complete shambles,0
Cook the books,0
Cookie cutter,0
Cool as a cucumber,0
Cool Britannia,0
Cop an attitude,0
Copper-bottomed,0
Cor blimey,0
Cordon bleu,0
Cost an arm and a leg,0
Cotton on to,0
Cotton-picking,0
Countenance more in sorrow than in anger - A,0
Counting sheep,0
Country bumpkin,0
Course of true love never did run smooth - The,0
Crack of doom - The,0
Crackpot,0
Crapper - The,0
Crocodile tears,0
Crop up,0
Crown jewels,0
Cry havoc and let slip the dogs of war,0
Curate's egg,0
Curiosity killed the cat,0
Curry favour,0
Customer is always right - The,0
Cut and run,0
Cut of your jib - The,0
Cut off without a penny,0
Cut off your nose to spite your face,0
Cut the mustard,0
Cut to the chase,0
Cute as a bug's ear,0
Daft as a brush,0
Damp squib,0
Dance attendance on,0
Daniel come to judgement,0
Darby and Joan,0
Dark horse,0
Darkest hour is just before the dawn - The,0
Dark side - The,0
Darling buds of May,0
Dash to pieces,0
Date rape,0
Davy Jones' locker,0
Daylight robbery,0
Dead as a dodo,0
Dead as a doornail,0
Dead cat bounce,0
Dead ringer,0
Delusions of grandeur,0
Derring-do,0
Designer stubble,0
